pk,back_width_ease,back_width_ease,armscye_width_ease,armscye_width_ease,chest_width_ease,chest_width_ease,armscye_depth_ease,armscye_depth_ease,waist_ease,waist_ease,hip_ease,hip_ease,bust_point_ease,bust_point_ease
,lo,hi,lo,hi,lo,hi,lo,hi,lo,hi,lo,hi,lo,hi
4,0.7,1.0,1.5,2.0,1.3,1.5,1.0,2.0,4.0,8.0,4.0,8.0,0.0,0.5
